name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Shakespeare,31 Summer Row,Birmingham,B3 1JJ,GB,52.4815586,-1.9068999,https://www.nicholsonspubs.co.uk/restaurants/eastandwestmidlands/theshakespeareinnsummerrowbirmingham,,,
Walkabout,266;266a Broad Street,Birmingham,B1 2DS,GB,52.4778453,-1.9105473,,,,
LIttle Owl,Bickenhill Parkway,Solihull,B40 1QA,GB,52.4636155,-1.7158531,https://www.vintageinn.co.uk/restaurants/midlands/thelittleowlsolihullnec,Vintage Inns,,Mo-Fr 12:00-23:00; Sa 09:00-23:00; Su 09:00-22:00
The Goose at the O.V.T.,561 Bristol Road,Birmingham,B29 6AF,GB,52.4459623,-1.9333979,,,,
Three Horseshoes,Coventry Road,Birmingham,B26 3JA,GB,52.453469,-1.7875645,,,,
The Bear,686 Stratford Road,Birmingham,B11 4AS,GB,52.4483592,-1.8611547,,,,
The Beech House,727 Warwick Road,Solihull,B91 3DT,GB,52.4151713,-1.7751658,,,,
Tap & Tandoor,,Birmingham,,GB,52.4149167,-1.7777655,,,,
The Assembly Rooms,21 Poplar Road,Solihull,B91 3AD,GB,52.4146126,-1.7784746,,,,
The William Tyler,,Birmingham,,GB,52.4672846,-1.8083579,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-william-tyler-birmingham,,,
St Bernards Grange,,Birmingham,,GB,52.4637676,-1.7939287,,,,
The Horseshoe,Stratford Road,Birmingham,,GB,52.4346287,-1.8457808,,,,
Saracens Head,208 Stratford Road,Solihull,B90 3AG,GB,52.4119403,-1.8273298,,,,
Plume of Feathers,Stratford Road,Solihull,B90 3BW,GB,52.4074678,-1.824243,https://www.stonehouserestaurants.co.uk/nationalsearch/eastandwestmidlands/theplumeoffeatherssolihull#/,,,
Covered Wagon curry pub,Yardley Wood Road,Birmingham,B13 9JW,GB,52.4386128,-1.870448,,,,
The Billesley,,Birmingham,,GB,52.4312849,-1.8779913,,,,
The Alma,Bentley Lane,Walsall,WS2 8SP,GB,52.5912981,-2.0044993,,,,"Mo-Su ""please add opening times"""
Summer House Bar & Grill,,Birmingham,,GB,52.4422534,-1.8436182,,,,
The Robin Hood,,Birmingham,WV13 2QR,GB,52.5826774,-2.0390087,,,,
Magic Lantern,,Walsall,WS2 7JW,GB,52.5984564,-2.0130846,,,,
